Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,Human Albumin 200Mg/50Ml Iv,Albumine Humaine 200Mg/50Ml Iv,Ampoule,200mg/50ml,,
,,Albumin L Bt,Albumine L Bt,Pieces,,,
,,Alcer 40Mg Inj B/1,Alcer 40Mg Inj B/1,Pieces,40mg,,
,,Alcohol 70% Fl/125Ml,Alcool 70% Fl/125Ml,Pieces,70%/125ml,,
,,Alcohol 70° 1L,Alcool 70° 1L,Ampoule,1l,,
,,Alcohol 95Fl/100Ml,Alcool 95 Fl/100 Ml,Pieces,100ml,,
,,Alcohol 95Fl/250Ml,Alcool 95 Fl/250 Ml,Pieces,250ml,,
,,Alcohol 95% Fut/250L,Alcool 95%  Fut/250L,Pieces,95%/250l,,
,,Alcohol 95% 1L,Alcool 95% 1L,Pieces,95%/1l,,
,,Alcohol 95% Bid/25L,Alcool 95% Bid/25L,Pieces,95%/25l,,
,,Alcohol 95% Fl/1.5L,"Alcool 95% Fl/1,5L",Pieces,95%/1.5l,,
,,Alcohol 95% Fl/125Ml,Alcool 95% Fl/125Ml,Pieces,95%/125ml,,
,,Aldactone 25Mg Comp Dry B/90,Aldactone 25Mg Comp Sec B/90,Boîte,25mg,,
,,Aldactone 25Mg Cp B/30,Aldactone 25Mg Cp B/30,Pieces,25mg,,
,,Aldactone 50Mg Cp B/20,Aldactone 50Mg Cp B/20,Pieces,50mg,,
,,Aldactone 50Mg Cr B/30,Aldactone 50Mg Cr B/30,Pieces,50mg,,
,,Aldactone 75Mg Cp B/30,Aldactone 75Mg Cp B/30,Pieces,75mg,,
,,Aldomet 250Mg Cp B/30,Aldomet 250Mg Cp B/30,Pieces,250mg,,
,,Aldomet 500Mg Cp B/30,Aldomet 500Mg Cp B/30,Pieces,500mg,,
,,Aldomet 500Mg Cp B/30,Aldomet 500Mg Cp B/30,Pieces,500mg,,
,,Alese,Alese,Comprimé,,,
,,Alese,Alese,Boîte,,,
,,Alfamox 1G Pdre Susp Buv Sach B/14,Alfamox 1G Pdre Susp Buv Sach B/14,Boîte,1g,,
,,Alfamox 1G Sachets B/14,Alfamox 1G Sachets B/14,Ampoule,1g,,
,,Alfamox 1G Scht B/1,Alfamox 1G Scht B/1,Ampoule,1g,,
,,Alfamox 500Mg Pdre Susp Buv Sach B/14,Alfamox 500Mg Pdre Susp Buv Sach B/14,Pieces,500mg,,
,,Alfer Sp Fl/200Ml,Alfer Sp Fl/200Ml,Pieces,200ml,,
,,Allercet 10 Mg Tab B/10,Allercet 10 Mg Cp B/10,Ampoule,10mg,,
,,Allergin 10Mg Cp B/15,Allergine 10Mg Cp B/15,Boîte,10mg,,
,,Allergin Cp,Allergine Cp,Pieces,,,
,,Allergosone Sol Buv Fl/30Ml,Allergosone Sol Buv Fl/30Ml,Ampoule,30ml,,
,,Almax 1G/7.5Ml Susp Buvf/225Ml,Almax 1G/7.5Ml Susp Buvf/225Ml,Ampoule,1g/7.5ml,,
,,Almax Forte 1.5G Bag B/30,"Almax Forte 1,5G Sach  B/30",Boîte,1.5g,,
,,Almax Strong Sachet,Almax Forte Sachet,KIT CP,,,
,,Almax Ag B/1,Almax Sa B/1,Ampoule,,,
,,Almax Suspension Fl/225Ml,Almax Suspension Fl/225Ml,Flacon,225ml,,
,,Altim 1 Amp Inj,Altim 1 Amp Inj,Pieces,,,
,,Alupho Scht B/1,Alupho Scht B/1,Ampoule,,,
,,Alvir 200Mg Cp Disp B/30,Alvir 200Mg Cp Disp B/30,Pieces,200mg,,
,,Alvir Cream,Alvir Creme,Ampoule,,,
,,Alvityl Plus Cp B/40,Alvityl Plus Cp B/40,Ampoule,,,
,,Alvityl Plus Sp Fl/150Ml,Alvityl Plus Sp Fl/150Ml,Pieces,150ml,,
,,Alvityl Tonus Cp B/20,Alvityl Tonus Cp B/20,Boîte,,,
,,Alvityl Vitality Cp B/40,Alvityl Vitalite Cp B/40,Boîte,,,
,,Alvityl Vitality Tonus Orange Cp B/20,Alvityl Vitalite Tonus Orang Cp B/20,Ampoule,,,
,,Alvogyl (Hemostop A),Alvogyl (Hemostop A),Pieces,,,
,,Alzole 20 Mg Capsule B/14,Alzole 20 Mg Gelule B/14,Ampoule,20 mg,,
,,Amaday 10Mg Cp B/30,Amaday 10Mg Cp B/30,Pieces,10mg,,
,,Amalgam 1 Dose B/50,Amalgam 1 Dose B/50,Pieces,,,
,,Amalgam 2 Dose B/50,Amalgam 2 Dose B/50,Pieces,,,
,,Amalgam 3 Dose B/50,Amalgam 3 Dose B/50,Pieces,,,
,,Amarel 2Mg Cp B/30,Amarel 2Mg Cp B/30,Pieces,2mg,,
,,Amfocin 1G/125Mg Pdre Susp Buv Sach B/12,Amfocin 1G/125Mg Pdre Susp Buv Sach B/12,Ampoule,1g/125mg,,
,,Amiderm Cream T/30G,Amiderm Creme T/30G,Pieces,30g,,
,,Amino Pep Forte Sp Fl/200 Ml,Amino Pep Forte Sp Fl/200 Ml,Comprimé,200 ml,,
,,Amiodarone 150Mg Inj B/1,Amiodarone 150Mg Inj B/1,Pieces,150mg,,
,,Amlibon 10 Mg Cp B/30,Amlibon 10 Mg Cp B/30,Pieces,10 mg,,
,,Amlibon 10Mg Cp B/10,Amlibon 10Mg Cp B/10,Boîte,10mg,,
,,Amlibon 10Mg Cp B/10,Amlibon 10Mg Cp B/10,Boîte,10mg,,
,,Amlibon 10Mg Cp B/90,Amlibon 10Mg Cp B/90,Pieces,10mg,,
,,Amlibon 5Mg Cp B/30,Amlibon 5Mg Cp B/30,Pieces,5mg,,
,,Amlodine Tabrad 10Mg Cp B/10,Amlodine Tabrad 10Mg Cp B/10,Flacon,10mg,,
,,Amlong 10Mg Cp B/30,Amlong 10Mg Cp B/30,Pieces,10mg,,
,,Amlong 5Mg Cp B/30,Amlong 5Mg Cp B/30,Ampoule,5mg,,
,,Amloperin 10Mg/10Mg Cp B/30,Amloperin 10Mg/10Mg Cp B/30,Pieces,10mg,,
,,Amlor 5Mg Cp B/56,Amlor 5Mg Cp B/56,Pieces,5mg,,
,,Amlostar 10Mg Cpr B/30,Amlostar 10Mg Cpr B/30,Flacon,10mg,,
,,Amoclan 100Mg/12.5Mg Pdr Susp Buv F/60Ml,Amoclan 100Mg/12.5Mg Pdr Susp Buv F/60Ml,Ampoule,100mg/60ml,,
,,Amoclan 200Mg Sp F/70Ml,Amoclan 200Mg Sp F/70Ml,Pieces,200mg/70ml,,
,,Bulb For Photo Therapy,Ampoule Pour Photo Therapie,Pieces,,,
,,Amuchina 5 Fl 250Ml,Amuchina 5 Fl 250Ml,Pieces,250ml,,
,,Amuchina F/250Ml,Amuchina F/250Ml,Pieces,250ml,,
,,Anafranil 10Mg Cp B/60,Anafranil 10Mg Cp B/60,Comprimé,10mg,,
,,Anafranil 25Mg Cp B/50,Anafranil 25Mg Cp B/50,Pieces,25mg,,
,,Anafranil 25Mg Inj B/1,Anafranil 25Mg Inj B/1,Ampoule,25mg,,
,,Anafranil 75Mg Cp B/20,Anafranil 75Mg Cp B/20,Pieces,75mg,,
,,Analgin 500Mg Inj,Analgin 500Mg Inj,Pieces,500mg,,
,,Locking Nail Ancillary,Ancillaire De Clou Vérrouillé,Ampoule,,,
,,Andol 1000 Mg Cp Eff B/8,Andol 1000 Mg Cp Eff B/8,Comprimé,1000 mg,,
,,Androcur 50Mg Cp B/20,Androcur 50Mg Cp B/20,Pieces,50mg,,
,,Anesthesia 2% B/50,Anesthesie 2% B/50,Pieces,2%,,
,,Anesthesia 3% B/50,Anesthesie 3% B/50,Pieces,3%,,
,,Anginovag Aero/10Ml,Anginovag Aero/10Ml,Ampoule,10ml,,
,,Angio-Mri,Angio-Irm,--  KIT CP,,,
,,"Angioscanner (Aorta, Cerebral, Members, Renal, Thorax, Tsa) Non-Inj","Angioscanner ( Aorte, Cerebral, Membres, Renal, Thorax, Tsa) Non Inj",--  KIT CP,,,
,,Abdominal Angioscanner,Angioscanner Abdominal,--  KIT CP,,,
,,Angioscanner Celebral,Angioscanner Celebral,--  Examen,,,
,,Thoracic Angioscanner,Angioscanner Thoracique,--  Examen,,,
,,Thoracic Angioscanner,Angioscanner Thoracique,--  KIT CP,,,
,,Thoracic Angioscanner,Angioscanner Thoracique,--  KIT CP,,,
,,Anios Gel Fl/500Ml,Anios Gel Fl/500Ml,Pieces,500ml,,
,,Anios Gel Fl/5Liters,Anios Gel Fl/5Litres,Pieces,5l,,
,,Anios Special Djp Sf Fl/5Liters,Anios Special Djp Sf Fl/5Litres,Pieces,5l,,
,,Aniospray 29L,Aniospray 29L,Pieces,29l,,
,,Aniospray Fl/1 L,Aniospray Fl/1 L,Pieces,1 l,,
,,Anomex Suppo B/10,Anomex Suppo  B/10,Pieces,,,
,,Anomex Suppo B/10,Anomex Suppo B/10,Comprimé,,,
,,Antalgex Cp B/20,Antalgex Cp B/20,Pieces,,,
,,Antalgex T Gel B/20,Antalgex T Gel B/20,Pieces,,,
,,Antalgex T Gel B/20,Antalgex T Gel B/20,Pieces,,,
,,Anti-D,Anti D,Pieces,,,
,,Anti Hg,Anti Hg,Pieces,,,
,,Anti-Plait 75 Mg Cp B/30,Anti-Plait 75 Mg Cp B/30,Pieces,75 mg,,
,,Antiseptic,Antiseptic,Ampoule,,,
,,Apaisyl 500Mg,Apaisyl 500 Mg,Ampoule,500mg,,
,,Apdrops Coll F/3Ml,Apdrops Coll F/3Ml,Comprimé,3ml,,
,,Apdyl-H Syrup 100Ml,Apdyl-H Sirop 100Ml,Boîte,100ml,,
,,Apexime 500Mg Tablets,Apexime 500Mg Cp,Ampoule,500mg,,
,,Apfer Sp Fl/200Ml,Apfer Sp Fl/200Ml,Pieces,200ml,,
,,Apflu 500/25/200Mg Pdre Susp Buv Sach/10,Apflu 500/25/200Mg Pdre Susp Buv Sach/10,Comprimé,200mg,,
,,Apotel Max Inj,Apotel Max Inj,Pieces,,,
,,Apotel Plus 600/20Mg Inj Amp,Apotel Plus 600/20Mg Inj Amp,Pieces,20mg,,
,,Apramol 1G Cp Eff B/8,Apramol 1G Cp Eff B/8,Comprimé,1g,,
,,Apramol 500 Mg B/20 Comp,Apramol 500 Mg B/20 Comp,Boîte,500 mg,,
,,Apramol 500 Mg Cp Eff,Apramol 500 Mg Cp Eff,Pieces,500 mg,,
,,Apramol 500Mg Cp B/20,Apramol 500Mg Cp B/20,Pieces,500mg,,
,,Aprepitant Accord 125Mg/80Mg Gel,Aprepitant Accord 125Mg/80Mg Gél,Comprimé,125mg/80mg,,
,,Aprovasc 150Mg/10Mg Cpr B/28,Aprovasc 150Mg/10Mg Cpr B/28,Boîte,150mg/10mg,,
,,Aprovasc 300-10Mg Cp B/28,Aprovasc 300-10Mg Cp B/28,Ampoule,10mg,,
,,Aprovasc 300/5Mg Cp B/28,Aprovasc 300/5Mg Cp B/28,Pieces,5mg,,
,,Aprovasc 300/5Mg Cpr B/28,Aprovasc 300/5Mg Cpr B/28,Ampoule,5mg,,
,,Aprovel 150Mg Cp B/30,Aprovel 150Mg Cp B/30,Pieces,150mg,,
,,Aranesp 60 Mircogr B/1,Aranesp 60 Mircogr B/1,Pieces,,,
,,Aranesp 60 Mircogr B/1,Aranesp 60 Mircogr B/1,Ampoule,,,
,,Arbitel H 80Mg/12.5Mg Cpr B/30,Arbitel H 80Mg/12.5Mg Cpr B/30,Ampoule,80mg,,
,,Arch Of Duclos,Arc Du Duclos,Boîte,,,
,,Arcalion 200 Mg Gel B/20,Arcalion 200 Mg Gel B/20,Pieces,200 mg,,
,,Arcalion 200Mg Cp B/,Arcalion 200Mg Cp B/,Pieces,200mg,,
,,Arcoxia 120 Mg Cp B/30,Arcoxia 120 Mg Cp B/30,Comprimé,120 mg,,
,,Arcoxia 120Mg Cp B/7,Arcoxia 120Mg Cp B/7,Ampoule,120mg,,
,,Arcoxia 120Mg Cp B/7,Arcoxia 120Mg Cp B/7,Pieces,120mg,,
,,Arcoxia 90Mg Cp B/14,Arcoxia 90Mg Cp B/14,Boîte,90mg,,
,,Arcoxia 90Mg Cp B/7,Arcoxia 90Mg Cp B/7,Boîte,90mg,,
,,Arginine Veyron Amp Buv B/20,Arginine Veyron Amp Buv B/20,Pieces,,,
,,Arphos Magn Buv Amp 10Ml B/20,Arphos Magn Buv Amp 10Ml B/20,Comprimé,10ml,,
,,Artane 5Mg Comp,Artane 5Mg Comp,Comprimé,5mg,,
,,Artane 5Mg Cp B/20,Artane 5Mg Cp B/20,Pieces,5mg,,
,,Artane Inj B/1,Artane Inj B/1,Pieces,,,
,,Artecom Cp Pell B/8,Artecom Cp Pell B/8,Comprimé,,,
,,Artefan 180/1080Mg Susp F/60,Artefan 180/1080Mg Susp F/60,Pieces,1080mg,,
,,Artefan 20/120Mg Cp B/24,Artefan 20/120Mg Cp B/24,Pieces,120mg,,
,,Artefan 20/120Mg Cp B/6,Artefan 20/120Mg Cp B/6,Pieces,120mg,,
,,Artefan 20/120Mg Cp Disp/6,Artefan 20/120Mg Cp Disp/6,Pieces,120mg,,
,,Artefan 20/120Mg Susp Buv F/30Ml,Artefan 20/120Mg Susp Buv F/30Ml,Ampoule,120mg,,
,,Artefan 40/240 Cp B/6,Artefan 40/240 Cp B/6,Pieces,,,
,,Artefan 40/240Mg Susp Buv F/30Ml,Artefan 40/240Mg Susp Buv F/30Ml,Comprimé,240mg,,
,,Artefan 60/360 Cp B/6,Artefan 60/360 Cp B/6,Ampoule,,,
,,Artefan 60/360 Mg B/6,Artefan 60/360 Mg B/6,Boîte,360 mg,,
,,Artefan 60/360Mg Susp Buv F/30Ml,Artefan 60/360Mg Susp Buv F/30Ml,Comprimé,360mg/30ml,,
,,Artefan 80/480 Cp B/6,Artefan 80/480 Cp B/6,Pieces,,,
,,Artefan 80/480Mg Susp F/30Ml,Artefan 80/480Mg Susp F/30Ml,Ampoule,480mg/30ml,,
,,Artelac Coll F/10Ml,Artelac Coll F/10Ml,Ampoule,10ml,,
,,Artelac Eye Drops 0.5Ml,"Artelac Collyre 0,5Ml",Pieces,0.5ml,,
,,Artequin Child 300/375 Mg,Artequin Enf 300/375 Mg,Ampoule,375 mg,,
,,Artesiane 40 Mg Suppogel B/6,Artesiane 40 Mg Suppogel B/6,Ampoule,40 mg,,
,,Artesun-Amodiaq 25/67.5 Mg Cp B/3,Artesun-Amodiaq 25/67.5 Mg Cp B/3,Pieces,67.5 mg,,
,,Artesun+Amodiaq 100/270Mg Adlt Cp Pl/3,Artesun+Amodiaq 100/270Mg Adlt Cp Pl/3,Pieces,270mg,,
,,Artesun+Amodiaq 100/270Mg Adlt Cp Pl/6,Artesun+Amodiaq 100/270Mg Adlt Cp Pl/6,Pieces,270mg,,
,,Artesun+Amodiaq 100/270Mg Enf Cp Pl/3,Artesun+Amodiaq 100/270Mg Enf Cp Pl/3,Pieces,270mg,,
,,Artesun+Amodiaq 25/67.5Mg Cp Pl/3,Artesun+Amodiaq 25/67.5Mg Cp Pl/3,Pieces,67.5mg,,
,,Artesun+Amodiaq 50/135Mg Free,Artesun+Amodiaq 50/135Mg Gratuit,Pieces,135mg,,
,,Artesunate 60Mg Amp Inj B/1,Artesunate 60Mg Amp Inj B/1,Pieces,60mg,,
,,Arthemeter 40Mg Inj B/1,Arthemeter 40Mg Inj B/1,Pieces,40mg,,
,,Arthemeter(Larither) 80Mg Inj,Arthemeter(Larither) 80Mg Inj,Pieces,80mg,,
,,Arthemeter+Lumefan 20/120Mg,Arthemeter+Lumefan 20/120Mg,Pieces,120mg,,
,,Arthemeter+Lumefan 80/480Mg,Arthemeter+Lumefan 80/480Mg,Pieces,480mg,,
,,Arthemeter+Lumefan Sp Fl/,Arthemeter+Lumefan Sp Fl/,Pieces,,,
,,Arthoscanner,Arthoscanner,--  Examen,,,
,,Arthoscanner,Arthoscanner,--  KIT CP,,,
,,Arthoscanner Of The Shoulder,Arthoscanner De L'Epaule,--  KIT CP,,,
,,Arthoscanner Of The Ankle,Arthoscanner De La Cheville,--  KIT CP,,,
,,Arthoscanner Of The Hip,Arthoscanner De La Hanche,--  Examen,,,
,,Arthoscanner Of The Elbow,Arthoscanner Du Coude,--  Examen,,,
,,Arthro-Mri,Arthro-Irm,--  KIT CP,,,
,,Artotec 75Mg/0.2Mg B/20,"Artotec 75Mg/0,2Mg B/20",Pieces,75mg/0.2mg,,
,,Artrim 15/90Mg Susp Buv F/60Ml,Artrim 15/90Mg Susp  Buv F/60Ml,Ampoule,90mg/60ml,,
,,Artrim Gh 40/240Mg Cpr B/12,Artrim Gh 40/240Mg Cpr B/12,Comprimé,240mg,,
,,Asaq 100/270 B/3,Asaq 100/270 B/3,Flacon,,,
,,Asaq 25/67.5Mg B/3,Asaq 25/67.5Mg B/3,Ampoule,67.5mg,,
,,Asaq100/270 B/6,Asaq100/270 B/6,Boîte,,,
,,Asaq25/67.5Mg Artesunate Amodiaquine,Asaq25/67.5Mg Artesunate Amodiaquine,Boîte,67.5mg,,
,,Ascabbiol F/125Ml,Ascabbiol F/125Ml,Pieces,125ml,,
,,Ascabiol Emul Ext Fl 125Ml,Ascabiol Emul Ext Fl 125Ml,Ampoule,125ml,,
,,Aseptanios Terminal Bid/5Litres,Aseptanios Terminal Bid/5Litres,Pieces,5l,,
,,Asmocid Cp B/20,Asmocid Cp B/20,Boîte,,,
,,Asmoflox-D2 200Mg/500Mg Cp B/20,Asmoflox-D2 200Mg/500Mg Cp B/20,Pieces,200mg/500mg,,
,,Aspegic 100Mg Sachet B/20,Aspegic 100Mg Sachet B/20,Pieces,100mg,,
,,Aspegic 250Mg Sch/20,Aspegic 250Mg Sch/20,Boîte,250mg,,
,,2 Jar Vacuum,Aspirateur A 2 Bocaux,Pieces,,,
,,One Jar Vacuum,Aspirateur A Un Bocal,Pieces,,,
,,Child B Mucositis Aspirator,Aspirateur Mucosite Enfant B,Pieces,,,
,,Ast N233 Test Kit 20 Cards,Ast N233 Test Kit 20 Cartes,Pieces,,,
,,Astaph 500Mg B/24 Gel,Astaph 500Mg B/24 Gel,Ampoule,500mg,,
,,Astaph 500Mg Gel B/24,Astaph 500Mg Gel B/24,Comprimé,500mg,,
,,Astymin Inj,Astymin Inj,Pieces,,,
,,Astymin Perf Fl/200Ml,Astymin Perf Fl/200Ml,Pieces,200ml,,
,,Astymin Syrup,Astymin Sirop,Boîte,,,
,,Asu Denk Fixed Dose Cp/3 Bl,Asu Denk Fixed Dose Cp/3 Bl,Comprimé,,,
,,Atacand 16Mg B/30,Atacand 16Mg B/30,Pieces,16mg,,
,,Atarax 25Mg Tablets,Atarax 25Mg Cp,KIT CP,25mg,,
,,Atarax 25Mg Cpr B/30,Atarax 25Mg Cpr B/30,Pieces,25mg,,
,,Atarax 25Mg Drag B/30,Atarax 25Mg Drag B/30,Flacon,25mg,,
,,Atarax Sp Fl/200Ml,Atarax Sp Fl/200Ml,Pieces,200ml,,
,,Atepadene 30Mg Gel B/30,Atepadene 30Mg Gel B/30,Pieces,30mg,,
,,Atipax Gtte Aur Fl/,Atipax Gtte Aur Fl/,Pieces,,,
,,Atorfit 10Mg Cp B/30,Atorfit 10Mg Cp B/30,Pieces,10mg,,
,,Atorfit 20Mg Cp B/30,Atorfit 20Mg Cp B/30,Comprimé,20mg,,
,,Atracurium 50Mg Inj B/1,Atracurium 50Mg Inj B/1,Pieces,50mg,,
,,Atrovent 0.25Mg/2Ml Enft B/1,Atrovent 0.25Mg/2Ml Enft B/1,Boîte,0.25mg/2ml,,
,,Atrovent 0.50Mg/1Ml Ad Dose3,Atrovent 0.50Mg/1Ml Ad Dose3,Pieces,0.50mg,,
,,Att,Att,Ampoule,,,
,,Audispray,Audispray,Ampoule,,,
,,Augmacillin 200Mg Pdr Fl/60Ml,Augmacillin 200Mg Pdr Fl/60Ml,Pieces,200mg/60ml,,
,,Augmacillin 400Mg Pdr Fl/60Ml,Augmacillin 400Mg Pdr Fl/60Ml,Ampoule,400mg/60ml,,
,,Augmentin 1.2G Inj,Augmentin 1.2G Inj,Pieces,1.2g,,
,,Augmentin 100 Mg Nn Sp Fl/30Ml,Augmentin 100 Mg Nn Sp Fl/30Ml,Pieces,100 mg,,
,,Augmentin 100Mg/12.5 Child Fl Of 60Ml,Augmentin 100Mg/12.5 Enft Fl De 60Ml,Comprimé,100mg/60ml,,
,,Augmentin 1G Sachet B/12,Augmentin 1G Sachet B/12,Pieces,1g,,
,,Augmentin 1G/125Mg Ad Sach/12,Augmentin 1G/125Mg Ad Sach/12,Ampoule,1g/125mg,,
,,Augmentin 500Mg Cpr Pell B/1,Augmentin 500Mg Cpr Pell B/1,Pieces,500mg,,
,,Augmentin 500Mg Inj F/1,Augmentin 500Mg Inj F/1,Pieces,500mg,,
,,Augmentin Enft Sp Fl/60Ml,Augmentin Enft Sp Fl/60Ml,Pieces,60ml,,
,,Augmentin Nour Sp Fl/30Ml,Augmentin Nour Sp Fl/30Ml,Pieces,30ml,,
,,Auricularium Pdr+Solv B/20,Auricularium Pdr+Solv B/20,Ampoule,,,
,,Auricularum Pdr + Solv Auric,Auricularum Pdr + Solv Auric,Pieces,,,
,,Other Frames,Autres Montures,Pieces,,,
,,Avamys Susp Nas 27.5Mg Nas 120,Avamys Susp Nas 27.5Mg Nas 120,Boîte,27.5mg,,
,,Avas 10 Mg Cp B/30,Avas 10 Mg Cp B/30,Pieces,10 mg,,
,,Avas 10Mg Cp B/30,Avas 10Mg Cp B/30,Pieces,10mg,,
,,Avas 20Mg Cp B/30,Avas 20Mg Cp B/30,Pieces,20mg,,
,,Avas 20Mg Cpr Pell B/30,Avas 20Mg Cpr Pell B/30,Ampoule,20mg,,
,,Avazir Eye Drops F/10Ml,Avazir Collyre F/10Ml,Pieces,10ml,,
,,Avlocardyl 40Mg Cp B/50,Avlocardyl 40Mg Cp B/50,Pieces,40mg,,
,,Azantac 50Mg Amp Inj B/1,Azantac 50Mg Amp Inj B/1,Pieces,50mg,,
,,Azantac 50Mg/2Ml Amp Inj B/5,Azantac 50Mg/2Ml Amp Inj B/5,Pieces,50mg/2ml,,
,,Azantac 75Mg Cpr Eff B/14,Azantac 75Mg Cpr Eff B/14,Pieces,75mg,,
,,Azicure 200Mg Sp F/15Ml,Azicure 200Mg Sp F/15Ml,Pieces,200mg/15ml,,
,,Azithrin 500Mg Gel B/3,Azithrin 500Mg Gel B/3,Pieces,500mg,,
,,Azithrin Susp,Azithrine Susp,Ampoule,,,
,,Azithro 200Mg Pdre Susp Buv Sach B/3,Azithro 200Mg Pdre Susp Buv Sach B/3,Comprimé,200mg,,
,,Azithro 250Mg Minsante,Azithro 250Mg Minsante,Pieces,250mg,,
,,Azithro Denk 500Mg Cpr B/3,Azithro Denk 500Mg Cpr B/3,Boîte,500mg,,
,,Azitrin 250 Mg,Azitrine 250 Mg,Boîte,250mg,,
,,Azitrin 250 Mg Cp B/6,Azitrine 250 Mg Cp B/6,Comprimé,250 mg,,
,,Azitrin 250Mg Cp B/6,Azitrine 250Mg Cp B/6,Pieces,250mg,,
,,Azitrin 500 Mg Cp B/3,Azitrine 500 Mg Cp B/3,Pieces,500 mg,,
,,Azitrine 600Mg Pdre Susp Buv F/15Ml,Azitrine 600Mg Pdre Susp Buv F/15Ml,Comprimé,600mg/15ml,,
,,Azix 500Mg Cpr B/3,Azix 500Mg Cpr B/3,Ampoule,500mg,,
,,Aztrine 250 Mg Cp B/6,Aztrine 250 Mg Cp B/6,Pieces,250 mg,,
,,Azyter Eye Drops,Azyter Collyre,Comprimé,,,
,,B Hcg Finecare 25 Tests,B Hcg Finecare 25 Tests,Pieces,,,
,,Baby Care,Baby Soin,Ampoule,,,
,,Babyhaler Chambr Inh Bb Enf,Babyhaler Chambr Inh Bb Enf,Pieces,,,
,,Babysoin Serum Single Dose,Babysoin Serum Unidose,Boîte,,,
,,Bacqure 500Mg Amp Inj B/1,Bacqure 500Mg Amp Inj B/1,Pieces,500mg,,
,,Bacqure 500Mg Umcs B/1,Bacqure 500Mg Umcs B/1,Pieces,500mg,,
,,Bactaler Fa Plus 100,Bactalert Fa Plus 100,Pieces,,,
,,Bactalert Fn Plus 100,Bactalert Fn Plus 100,Pieces,,,
,,Bactalert Pf Plus 100 Fl,Bactalert Pf Plus 100 Fl,Pieces,,,
,,Bacteoapaisyl T/30G,Bacteoapaisyl T/30G,Pieces,30g,,
,,Bactox Ge 250Mg Susp Fl/60Ml,Bactox Ge 250Mg Susp Fl/60Ml,Boîte,250mg/60ml,,
,,Tape Adh Nt Phd 10Cmx2M,Bande Adh Nt Phd 10Cmx2M,Boîte,,,
,,Crepe Band 10Cm*4,Bande Crepe 10Cm*4,Pieces,,,
,,Crepe Band 15Cm X 4,Bande Crepe 15Cm X 4,Pieces,,,
,,Crepe Band 20Cm X 4,Bande Crepe 20Cm X 4,Pieces,,,
,,Crepe Band 7Cm X 4,Bande Crepe 7Cm X 4,Pieces,,,
,,Gauze Band 4X4,Bande De Gaze 4X4,Pieces,,,
,,Tubular Jersey Band,Bande Jersey Tubulaire,Boîte,,,
,,Leukoplast Strip Roll,Bande Leukoplast Rouleau,Pieces,,,
,,Plaster Band 10Cmx3M,Bande Platree 10Cmx3M,Pieces,,,
,,Plaster Band 15Cm*3M,Bande Platree 15Cm*3M,Pieces,,,
,,Plaster Band 20Cm*3M,Bande Platree 20Cm*3M,Pieces,,,
,,Plaster Band 5Cm*3M,Bande Platree 5Cm*3M,Pieces,,,
,,Plaster Band Phd 10Cm*2M,Bande Platree Phd 10Cm*2M,Ampoule,,,
,,Tubule Band Ecru 5M* 15Cm,Bande Tubule Ecru 5M* 15Cm,Boîte,,,
,,One Touch Strip B/25,Bandelette One Touch B/25,Pieces,,,
,,Urinary Strip B/100,Bandelette Urinaire B/100,Pieces,,,
,,B/50 Blood Glucose Strips,Bandelettes  A Glycemie B/50,Pieces,,,
,,Baneocin Pde T/20G,Baneocin Pde T/20G,Pieces,20g,,
,,Baneocin Powder For External Use F/10G,Baneocin Poudre Usage Externe F/10G,Comprimé,10g,,
,,Aroma Balm T/50G,Baume Aroma T/50G,Pieces,50g,,
,,Assembly Balm 100 Ml,Baume De Montage 100 Ml,Boîte,100 ml,,
,,Nerve Balm T/,Baume Des Nerfs T/,Pieces,,,
,,Balm St Bernard T/100G,Baume St Bernard T/100G,Pieces,100g,,
,,Becilan 250Mg Cp B/40,Becilan 250Mg Cp B/40,Ampoule,250mg,,
,,Beclav 1G Amp Inj B/1,Beclav 1G Amp Inj B/1,Boîte,1g,,
,,Beclav 625Mg Cp B/20,Beclav 625Mg Cp B/20,Pieces,625mg,,
,,Becozyme Amp Inj 2Ml B/12,Becozyme Amp Inj 2Ml B/12,Pieces,2ml,,
,,Becozyme Inj B/1 Umcs,Becozyme Inj B/1 Umcs,Pieces,,,
,,Benzy Peni Sodium 1Mil Amp Inj,Benzy Peni Sodique 1Mil Amp Inj,Pieces,1ml,,
,,Benzy Peni Sodium 5Mil Amp Inj,Benzy Peni Sodique 5Mil Amp Inj,Pieces,5ml,,
,,Benzy Nibp Benzat 1.2M Amp Inj,"Benzy Pni Benzat 1,2M Amp Inj",Pieces,,,
,,Benzy Pnic Benzatine 2.4M Amp Inj,"Benzy Pnic Benzatine 2,4M Amp Inj",Pieces,,,
,,Bepanthen 5% Pde T/100G,Bepanthen 5% Pde T/100G,Comprimé,5%/100g,,
,,Bepanthen 5% Pom T/30G,Bepanthen 5% Pom T/30G,Boîte,5%/30g,,
,,Bepanthen 5% Pom Tb/30G,Bepanthen 5% Pom Tb/30G,Pieces,5%/30g,,
,,Berroca Energie Taste Orange,Berroca Energie Gout Orange,Ampoule,,,
,,Betadine 10% Gel T/30G,Betadine 10% Gel T/30G,Ampoule,10%/30g,,
